Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1898,-0.06,-0.32,-0.55,-0.33,-0.35,-0.21,-0.22,-0.23,-0.18,-0.31,-0.36,-0.21
1899,-0.17,-0.39,-0.33,-0.2,-0.2,-0.25,-0.14,-0.04,-0.01,0,0.13,-0.26
1900,-0.39,-0.07,0.03,-0.14,-0.05,-0.14,-0.08,-0.03,0.02,0.09,-0.12,-0.13
1901,-0.28,-0.05,0.06,-0.05,-0.17,-0.09,-0.08,-0.12,-0.15,-0.28,-0.15,-0.27
1902,-0.18,-0.03,-0.28,-0.28,-0.31,-0.33,-0.24,-0.27,-0.2,-0.27,-0.35,-0.45
1903,-0.27,-0.06,-0.21,-0.39,-0.41,-0.44,-0.29,-0.42,-0.41,-0.4,-0.38,-0.46
1904,-0.63,-0.54,-0.45,-0.49,-0.5,-0.48,-0.48,-0.43,-0.46,-0.35,-0.16,-0.29
1905,-0.38,-0.58,-0.24,-0.36,-0.33,-0.31,-0.24,-0.2,-0.14,-0.24,-0.09,-0.21
1906,-0.3,-0.32,-0.15,-0.03,-0.21,-0.21,-0.26,-0.18,-0.25,-0.2,-0.38,-0.18
1907,-0.43,-0.51,-0.23,-0.39,-0.46,-0.43,-0.35,-0.36,-0.32,-0.24,-0.51,-0.5
1908,-0.45,-0.35,-0.57,-0.46,-0.4,-0.39,-0.35,-0.45,-0.33,-0.43,-0.5,-0.49
1909,-0.69,-0.46,-0.51,-0.58,-0.53,-0.51,-0.42,-0.29,-0.37,-0.38,-0.31,-0.54
1910,-0.43,-0.42,-0.47,-0.38,-0.33,-0.36,-0.31,-0.34,-0.36,-0.38,-0.55,-0.68
1911,-0.62,-0.59,-0.61,-0.55,-0.5,-0.45,-0.4,-0.42,-0.37,-0.25,-0.19,-0.24
1912,-0.26,-0.13,-0.37,-0.19,-0.19,-0.25,-0.41,-0.52,-0.47,-0.55,-0.37,-0.42
1913,-0.42,-0.43,-0.43,-0.37,-0.45,-0.46,-0.35,-0.34,-0.34,-0.34,-0.18,-0.04
1914,0.02,-0.13,-0.22,-0.27,-0.2,-0.23,-0.24,-0.14,-0.13,-0.05,-0.21,-0.09
1915,-0.18,0,-0.1,0.08,-0.01,-0.15,-0.03,-0.15,-0.13,-0.22,-0.13,-0.24
1916,-0.17,-0.21,-0.31,-0.24,-0.26,-0.43,-0.34,-0.26,-0.28,-0.27,-0.4,-0.77
1917,-0.46,-0.52,-0.46,-0.37,-0.48,-0.4,-0.22,-0.25,-0.17,-0.35,-0.26,-0.71
1918,-0.42,-0.29,-0.18,-0.38,-0.36,-0.27,-0.2,-0.25,-0.13,-0.03,-0.15,-0.29
1919,-0.2,-0.19,-0.23,-0.16,-0.19,-0.26,-0.19,-0.18,-0.16,-0.15,-0.28,-0.34
1920,-0.14,-0.21,-0.06,-0.25,-0.24,-0.31,-0.3,-0.27,-0.19,-0.28,-0.32,-0.46
1921,-0.03,-0.2,-0.26,-0.35,-0.35,-0.3,-0.14,-0.23,-0.16,-0.05,-0.15,-0.17
